,Name,Description,Price,Type
193,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
194,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
195,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
196,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
197,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
198,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
199,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
200,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
201,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
202,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
203,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
204,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
205,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
206,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
207,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
208,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
209,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
210,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
211,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
212,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
213,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
214,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
215,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
216,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
217,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
218,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
219,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
220,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
221,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
222,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
223,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
224,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
225,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
226,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
227,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
228,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
229,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
230,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
231,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
232,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
233,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
234,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
235,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
236,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
237,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
238,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
239,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
240,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
241,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
242,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
243,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
244,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
245,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
246,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
247,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
248,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
249,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
250,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
251,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
252,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
253,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
254,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
255,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
256,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
257,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
258,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
259,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
260,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
261,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
262,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
263,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
264,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
265,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
266,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
267,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
268,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
269,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
270,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
271,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
272,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
273,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
274,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
275,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
276,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
277,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
278,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
279,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
280,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
281,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
282,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
283,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
284,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
285,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
286,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
287,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
288,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
289,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
290,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
291,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
292,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
293,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
294,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
295,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
296,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
297,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
298,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
299,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
300,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
301,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
